R	53.2878	-6.12712	E939	09 Apr 2026	E939\n17:55 - Bray to Howth (0 mins late)\nArrived Sandycove next stop Dun Laoghaire	Northbound
R	53.2991	-6.16512	E836	09 Apr 2026	E836\n17:31 - Greystones to Malahide (2 mins late)\nArrived Seapoint next stop Blackrock	Northbound
R	53.3027	-6.17833	E124	09 Apr 2026	E124\n17:24 - Malahide to Greystones (0 mins late)\nArrived Blackrock next stop Seapoint	Southbound
R	53.3281	-6.22116	E938	09 Apr 2026	E938\n17:35 - Bray to Howth (2 mins late)\nArrived Sandymount next stop Lansdowne Road	Northbound
R	53.3334	-6.40628	D417	09 Apr 2026	D417\n17:29 - Grand Canal Dock to Newbridge (6 mins late)\nDeparted Clondalkin next stop Kishoge	Southbound
R	53.334	-6.37868	P417	09 Apr 2026	P417\n17:53 - Hazelhatch to Grand Canal Dock (1 mins late)\nDeparted Park West and Cherry Orchard next stop Drumcondra	Northbound
R	53.3345	-6.43038	A224	09 Apr 2026	A224\n18:00 - Dublin Heuston to Cork (2 mins late)\nDeparted Kishoge next stop Ballybrophy	To Cork
R	53.3397	-6.23773	D929	09 Apr 2026	D929\n17:29 - Bray to Maynooth (0 mins late)\nDeparted Grand Canal Dock next stop Dublin Pearse	Northbound
R	53.3432	-8.47231	A714	09 Apr 2026	A714\n13:30 - Dublin Heuston to Galway (171 mins late)\nDeparted Woodlawn next stop Athenry	To Galway
R	53.3433	-6.24829	E248	09 Apr 2026	E248\n17:35 - Howth to Bray (4 mins late)\nDeparted Dublin Pearse next stop Grand Canal Dock	Southbound
R	53.347	-6.25425	E835	09 Apr 2026	E835\n17:25 - Bray to Malahide (2 mins late)\nArrived Tara Street next stop Dublin Connolly	Northbound
R	53.347	-6.25425	P618	09 Apr 2026	P618\n17:03 - Drogheda to Grand Canal Dock (4 mins late)\nArrived Tara Street next stop Dublin Pearse	To Grand Canal Dock
R	53.3531	-6.24591	E249	09 Apr 2026	E249\n17:44 - Malahide to Bray (1 mins late)\nArrived Dublin Connolly next stop Tara Street	Southbound
R	53.3629	-6.22753	A121	09 Apr 2026	A121\n16:00 - Belfast to Dublin Connolly (3 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3704	-6.50598	D926	09 Apr 2026	D926\n17:30 - Dublin Connolly to Maynooth (4 mins late)\nArrived Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3725	-6.29869	D928	09 Apr 2026	D928\n18:00 - Dublin Connolly to Maynooth (2 mins late)\nArrived Broombridge next stop Pelletstown	Northbound
R	53.3725	-6.29869	P323	09 Apr 2026	P323\n17:36 - M3 Parkway to Docklands (3 mins late)\nDeparted Broombridge next stop Docklands	Southbound
R	53.373	-6.20442	E937	09 Apr 2026	E937\n17:01 - Greystones to Howth (1 mins late)\nArrived Killester next stop Harmonstown	Northbound
R	53.3752	-6.31388	A911	09 Apr 2026	A911\n15:05 - Sligo to Dublin Connolly (3 mins late)\nDeparted Pelletstown next stop Broombridge	Southbound
R	53.3755	-6.33135	D322	09 Apr 2026	D322\n17:55 - Docklands to M3 Parkway (3 mins late)\nArrived Ashtown next stop Navan Road Parkway	Northbound
R	53.378	-6.58993	D925	09 Apr 2026	D925\n17:09 - Grand Canal Dock to Longford (6 mins late)\nArrived Maynooth next stop Kilcock	To Longford
R	53.3815	-6.17699	E125	09 Apr 2026	E125\n17:55 - Howth to Greystones (3 mins late)\nArrived Raheny next stop Harmonstown	Southbound
R	53.3816	-6.37149	D927	09 Apr 2026	D927\n17:39 - Grand Canal Dock to Maynooth (4 mins late)\nDeparted Castleknock next stop Coolmine	To Maynooth
R	53.3831	-6.4242	P762	09 Apr 2026	P762\n17:51 - Maynooth to Dublin Connolly (4 mins late)\nDeparted Clonsilla next stop Coolmine	Southbound
R	53.3909	-6.15672	E834	09 Apr 2026	E834\n17:05 - Bray to Malahide (3 mins late)\nDeparted Howth Junction next stop Clongriffin	Northbound
R	53.4157	-6.83395	A912	09 Apr 2026	A912\n17:05 - Dublin Connolly to Sligo (4 mins late)\nDeparted Enfield next stop Mullingar	Northbound
R	53.4169	-6.1512	E250	09 Apr 2026	E250\n18:04 - Malahide to Bray (2 mins late)\nDeparted Portmarnock next stop Clongriffin	Southbound
R	53.4509	-6.15649	D827	09 Apr 2026	D827\n17:53 - Dublin Connolly to Drogheda (-1 mins late)\nArrived Malahide next stop Donabate	Northbound
R	53.4855	-6.15134	A124	09 Apr 2026	A124\n17:50 - Dublin Connolly to Belfast (0 mins late)\nDeparted Donabate next stop Drogheda	Northbound
R	53.5201	-6.1439	P619	09 Apr 2026	P619\n17:43 - Drogheda to Grand Canal Dock (0 mins late)\nArrived Rush and Lusk next stop Donabate	To Grand Canal Dock
